time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,mag_in_x,mag_in_y,mag_in_z,gyro_p,gyro_q,gyro_r,roll_rate_rps,mag_ok,gyro_ok,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
0.10,-1187927.923000,-6195221.118000,939750.582700,-486.950157,-96.151011,635.059198,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.109588,0.000000,0.000000,10.999133,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0
0.11,-1187927.923000,-6195221.118000,939750.582700,-486.950157,-96.151011,635.059198,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.108444,0.000000,0.000000,10.998950,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0
0.12,-1187927.923000,-6195221.118000,939750.582700,-486.950157,-96.151011,635.059198,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.107190,0.000000,0.000000,10.998751,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0
0.13,-1187927.923000,-6195221.118000,939750.582700,-486.950157,-96.151011,635.059198,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.105828,0.000000,0.000000,10.998534,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0
0.14,-1187927.923000,-6195221.118000,939750.582700,-486.950157,-96.151011,635.059198,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.104356,0.000000,0.000000,10.998300,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0
0.15,-1187927.923000,-6195221.118000,939750.582700,-486.950157,-96.151011,635.059198,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.102776,0.000000,0.000000,10.998048,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0
0.16,-1187927.923000,-6195221.118000,939750.582700,-486.950157,-96.151011,635.059198,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.101087,0.000000,0.000000,10.997780,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0
0.17,-1187927.923000,-6195221.118000,939750.582700,-486.950157,-96.151011,635.059198,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.099288,0.000000,0.000000,10.997493,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0
0.18,-1187927.923000,-6195221.118000,939750.582700,-486.950157,-96.151011,635.059198,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.097381,0.000000,0.000000,10.997190,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0
0.19,-1187927.923000,-6195221.118000,939750.582700,-486.950157,-96.151011,635.059198,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.095365,0.000000,0.000000,10.996869,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0
0.20,-1187931.423000,-6195239.300000,939813.915100,-486.585615,-94.246531,631.594649,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.093240,0.000000,0.000000,10.996531,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0
0.21,-1187931.423000,-6195239.300000,939813.915100,-486.585615,-94.246531,631.594649,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.091006,0.000000,0.000000,10.996175,0,0,1,0,0,0,0,0,0,0,0,22,0,0,0
0.22,-1187931.423000,-6195239.300000,939813.915100,-486.585615,-94.246531,631.594649,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.088663,0.000000,0.000000,10.995802,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0
0.23,-1187931.423000,-6195239.300000,939813.915100,-486.585615,-94.246531,631.594649,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.086211,0.000000,0.000000,10.995412,0,0,1,0,0,0,0,0,0,0,0,24,0,0,0
0.24,-1187931.423000,-6195239.300000,939813.915100,-486.585615,-94.246531,631.594649,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.083650,0.000000,0.000000,10.995004,0,0,1,0,0,0,0,0,0,0,0,25,0,0,0
0.25,-1187931.423000,-6195239.300000,939813.915100,-486.585615,-94.246531,631.594649,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.080981,0.000000,0.000000,10.994580,0,0,1,0,0,0,0,0,0,0,0,26,0,0,0
